id,opened_ts,slug,market_id,side,entry_price,initial_size,remaining_size,entry_edge,entry_note,entry_source,trade_token_id,closed_ts,close_price,close_note,realized_pnl,result,trigger_reason,failure_reason_if_loss
160,2026-03-01T18:09:54.070867+00:00,btc-updown-5m-1772388300,1467756,BUY_NO,0.030000000000000027,333.33333333333303,0.0,0.16999999999999993,edge=0.1700 spread=0.01 depth=13397.8 imbalance=-0.90 source=clob,clob,110433734029846119545216405137827708476755839738646231520988916016178036208655,2026-03-01T18:09:54.317635+00:00,0.020000000000000018,auto_stop_loss,-3.3333333333333335,LOSS,edge=0.1700 spread=0.01 depth=13397.8 imbalance=-0.90 source=clob,Stopped out before reversal / adverse move exceeded stop rule
161,2026-03-01T18:10:00.917854+00:00,btc-updown-5m-1772388600,1467781,BUY_YES,0.5,20.0,,0.30000000000000004,edge=0.3000 spread=0.01 depth=3886.3 imbalance=-0.23 source=clob,clob,89521486240592350931052980897087061440545910725908693616723437018317122604019,2026-03-01T18:11:42.910855+00:00,0.4,auto_stop_loss,-1.9999999999999996,LOSS,edge=0.3000 spread=0.01 depth=3886.3 imbalance=-0.23 source=clob,Stopped out before reversal / adverse move exceeded stop rule
162,2026-03-01T18:10:35.148601+00:00,btc-updown-5m-1772388600,1467781,BUY_YES,0.49,20.408163265306122,,0.31000000000000005,edge=0.3100 spread=0.01 depth=6992.8 imbalance=-0.30 source=clob,clob,89521486240592350931052980897087061440545910725908693616723437018317122604019,2026-03-01T18:11:42.910855+00:00,0.4,auto_stop_loss,-1.8367346938775504,LOSS,edge=0.3100 spread=0.01 depth=6992.8 imbalance=-0.30 source=clob,Stopped out before reversal / adverse move exceeded stop rule
163,2026-03-01T18:10:55.750955+00:00,btc-updown-5m-1772388600,1467781,BUY_YES,0.47,21.27659574468085,,0.33000000000000007,edge=0.3300 spread=0.01 depth=6169.4 imbalance=-0.38 source=clob,clob,89521486240592350931052980897087061440545910725908693616723437018317122604019,2026-03-01T18:11:42.910855+00:00,0.4,auto_stop_loss,-1.4893617021276586,LOSS,edge=0.3300 spread=0.01 depth=6169.4 imbalance=-0.38 source=clob,Stopped out before reversal / adverse move exceeded stop rule
164,2026-03-01T18:11:36.158996+00:00,btc-updown-5m-1772388600,1467781,BUY_YES,0.44,22.727272727272727,,0.36000000000000004,edge=0.3600 spread=0.01 depth=3595.5 imbalance=0.08 source=clob,clob,89521486240592350931052980897087061440545910725908693616723437018317122604019,2026-03-01T18:11:42.910855+00:00,0.4,auto_stop_loss,-0.9090909090909086,LOSS,edge=0.3600 spread=0.01 depth=3595.5 imbalance=0.08 source=clob,Stopped out before reversal / adverse move exceeded stop rule
165,2026-03-01T18:12:17.208720+00:00,btc-updown-5m-1772388600,1467781,BUY_YES,0.35,27.459580304001445,0.0,0.45000000000000007,edge=0.4500 spread=0.01 depth=3273.9 imbalance=-0.37 source=clob bal=1922.17 risk=9.61,clob,89521486240592350931052980897087061440545910725908693616723437018317122604019,2026-03-01T18:12:37.466002+00:00,0.42,auto_take_profit,1.9221706212801013,WIN,edge=0.4500 spread=0.01 depth=3273.9 imbalance=-0.37 source=clob bal=1922.17 risk=9.61,
166,2026-03-01T18:12:37.500005+00:00,btc-updown-5m-1772388600,1467781,BUY_YES,0.44,21.86469081706115,21.86469081706115,0.36000000000000004,edge=0.3600 spread=0.01 depth=3973.3 imbalance=-0.18 source=clob bal=1924.09 risk=9.62,clob,89521486240592350931052980897087061440545910725908693616723437018317122604019,2026-03-01T18:12:51.249923+00:00,0.35,auto_stop_loss,-1.967822173535504,LOSS,edge=0.3600 spread=0.01 depth=3973.3 imbalance=-0.18 source=clob bal=1924.09 risk=9.62,Stopped out before reversal / adverse move exceeded stop rule
167,2026-03-01T18:13:25.068409+00:00,btc-updown-5m-1772388600,1467781,BUY_YES,0.29,33.140085684962855,33.140085684962855,0.51,edge=0.5100 spread=0.01 depth=3873.8 imbalance=0.01 source=clob bal=1922.12 risk=9.61,clob,89521486240592350931052980897087061440545910725908693616723437018317122604019,2026-03-01T18:13:45.705006+00:00,0.19,auto_stop_loss,-3.314008568496285,LOSS,edge=0.5100 spread=0.01 depth=3873.8 imbalance=0.01 source=clob bal=1922.12 risk=9.61,Stopped out before reversal / adverse move exceeded stop rule
168,2026-03-01T18:13:55.684280+00:00,btc-updown-5m-1772388600,1467781,BUY_YES,0.19,50.495025293667084,50.495025293667084,0.6100000000000001,edge=0.6100 spread=0.01 depth=3157.7 imbalance=-0.32 source=clob bal=1918.81 risk=9.59,clob,89521486240592350931052980897087061440545910725908693616723437018317122604019,2026-03-01T18:14:06.241580+00:00,0.3,auto_take_profit,5.554452782303379,WIN,edge=0.6100 spread=0.01 depth=3157.7 imbalance=-0.32 source=clob bal=1918.81 risk=9.59,
169,2026-03-01T18:15:07.441753+00:00,btc-updown-5m-1772388900,1467961,BUY_YES,0.5,20.0,,0.30000000000000004,edge=0.3000 spread=0.01 depth=3713.0 imbalance=-0.05 source=clob,clob,6425898490077097630210904953014698958757662691129727183787548662624253757361,2026-03-01T18:16:56.082481+00:00,0.6,auto_take_profit,1.9999999999999996,WIN,edge=0.3000 spread=0.01 depth=3713.0 imbalance=-0.05 source=clob,
170,2026-03-01T18:16:56.116665+00:00,btc-updown-5m-1772388900,1467961,BUY_YES,0.61,16.39344262295082,0.0,0.19000000000000006,edge=0.1900 spread=0.01 depth=3245.7 imbalance=-0.05 source=clob,clob,6425898490077097630210904953014698958757662691129727183787548662624253757361,2026-03-01T18:17:05.622611+00:00,0.72,auto_take_profit,1.8032786885245897,WIN,edge=0.1900 spread=0.01 depth=3245.7 imbalance=-0.05 source=clob,
171,2026-03-01T18:17:12.410542+00:00,btc-updown-5m-1772388900,1467961,BUY_YES,0.69,13.972236903117228,13.972236903117228,0.1100000000000001,edge=0.1100 spread=0.02 depth=1770.0 imbalance=-0.29 source=clob bal=1928.17 risk=9.64,clob,6425898490077097630210904953014698958757662691129727183787548662624253757361,2026-03-01T18:17:57.013545+00:00,0.83,auto_take_profit,1.956113166436412,WIN,edge=0.1100 spread=0.02 depth=1770.0 imbalance=-0.29 source=clob bal=1928.17 risk=9.64,
172,2026-03-01T18:18:03.966437+00:00,btc-updown-5m-1772388900,1467961,BUY_NO,0.09999999999999998,100.00000000000003,,0.09999999999999998,edge=0.1000 spread=0.01 depth=5955.4 imbalance=-0.37 source=clob,clob,3646462855136515273650615839323785983639539430966077978349962653027064746812,2026-03-01T18:18:10.725219+00:00,0.13,auto_take_profit,3.0000000000000036,WIN,edge=0.1000 spread=0.01 depth=5955.4 imbalance=-0.37 source=clob,
